name,sex,breed,color
Katja,female,German Shepherd Dog Mix,black and brown
Dana,female,Unknown Mix,black
Csongi,male,Jagd Terrier Mix,black and brown
Hillary,female,Unknown Mix,sable
Betyár,male,Unknown Mix,black
Fricike,male,"Dachshund, Golden Retriever Mix",yellow-brown
Elvis,male,Unknown Mix,brown and white
,male,"Fox Terrier, Whippet Mix",black and white
Bacon,male,Unknown Mix,black
Scott,male,Staffordshire Terrier,brown and white
Bronco,male,Unknown Mix,brown and white
Kevin,male,Unknown Mix,yellow-brown
Janett,female,Unknown Mix,brown
Paco,male,Unknown Mix,white
Loki,male,Unknown Mix,gray
Camillo,male,Unknown Mix,black and brown
Gus,male,Unknown Mix,brown and white
Dalia,female,Unknown Mix,brown and white
Dóri,female,"Dachshund, Havanese, Setter Mix",tricolor
Coby,male,Unknown Mix,sable
Pandora,female,Unknown Mix,black and brown
Árpád,male,Kuvasz,white
Perec,male,Unknown Mix,white
Heves,male,German Shepherd Dog Mix,yellow-brown
Jill,female,Unknown Mix,black and brown
Lexy,female,Unknown Mix,black and brown
Emily,female,Unknown Mix,white
Vackor,male,Unknown Mix,black
Hógolyó,male,Dachshund Mix,spotty
Alex,male,Boxer,yellow
Marvin,male,Unknown Mix,brown
Szuzy,female,Unknown Mix,tricolor
Dylan,male,"Irish Setter, Vizsla Mix",black
Csöpi,female,Fox Terrier,brown and white
Bobó,male,Unknown Mix,apricot
Zoárd,male,Dachshund Mix,black and tan
Buci,male,Unknown Mix,gray and black
Vanda,female,German Shepherd Dog Mix,tricolor
Manó,male,Unknown Mix,black and white
Bobi,male,Unknown Mix,brown
Fruzsi,female,Dachshund Mix,brown and white
Füles,male,Unknown Mix,red
Dzsini,female,Unknown Mix,black
Rasmus,male,Unknown Mix,golden
Cheril,female,Unknown Mix,brown and white
Kitty,female,Puli,black
Loretta,female,Dachshund Mix,brown and white
Tasso,male,Unknown Mix,golden
Brando,male,Dachshund Mix,brown
Rosienda,female,Unknown Mix,brown
Maci,male,Unknown Mix,brown
Colorado,male,Fox Terrier Mix,black and brown
Tyron,male,Rottweiler Mix,black and brown
Fergie,female,Beagle,tricolor
Gomez,male,Staffordshire Terrier,black and white
Kiwi,male,Puli,black
Tyson,male,Rottweiler Mix,black and brown
Blanka,female,German Shepherd Dog Mix,black and tan
Agatha,female,Unknown Mix,yellow-brown
Dabas,male,"Pumi, Schnauzer Mix",gray
Mancs,female,Fox Terrier Mix,apricot
Lili,female,"Hungarian Vizsla, Labrador Retriever Mix",brown
Priscilla,female,Unknown Mix,black
Ruby,female,Staffordshire Terrier Mix,black and white
Valentin,male,Unknown Mix,black and brown
Donna,female,Unknown Mix,sable
Hanga,female,Dachshund,black and tan
Mancs,female,Fox Terrier Mix,apricot
Maggie,female,Rottweiler,black and brown
Dömi,male,Schnauzer Mix,yellow-brown
Tomaj,male,Pumi Mix,black
Kilroy,male,Rottweiler,black and brown
Belinda,female,Central Asian Ovtcharka,brown and white
Champ,male,Unknown Mix,black
Marci,male,Puli,black
Aladár,male,Unknown Mix,white
Buksi,male,Dachshund Mix,red
Bucó,male,Unknown Mix,black
Keksz,male,Unknown Mix,sable
Dóri,female,Unknown Mix,red
Rajmund,male,Unknown Mix,brown and white
Rambo,male,Rhodesian Ridgeback,black and brown
Maja,female,Unknown Mix,black and brown
Nero,male,Unknown Mix,saddle back
Móricka,male,Fox Terrier Mix,tricolor
Borzaska,female,"Puli, Spaniel Mix",gray and black
Betsy,female,Basset Hound Mix,tricolor
Scott,male,Shih Tzu Mix,white
Alma,female,Rottweiler Mix,black and brown
Jack,male,Labrador Retriever Mix,red and white
Vince,male,Unknown Mix,black
Benji,male,German Shepherd Dog Mix,sable
Döme,male,Pekingese Mix,red and white
Csöpike,male,Dachshund Mix,black and brown
Twinky,female,Unknown Mix,black
Lucifer,male,Unknown Mix,white
Dugó,male,Unknown Mix,white
Limbo,female,Unknown Mix,spotty
Ropi,female,German Shepherd Dog,black and brown
Yoko,female,Unknown Mix,apricot
Dotty,female,Unknown Mix,black
Barni,male,Unknown Mix,yellow-brown
Vándor,male,Unknown Mix,black
Bandita,male,Unknown Mix,black
Skippy,male,Unknown Mix,brown and white
Zsuzsi,female,Unknown Mix,black and white
Lara És Happy,female,Unknown Mix,black
Nina,female,Unknown Mix,saddle back
Stella,female,"Labrador Retriever, Staffordshire Terrier Mix",yellow-brown
Csoki,female,Jack Russell Terrier Mix,black and brown
Kalle,male,Unknown Mix,brown
Masni,female,Unknown Mix,brown
Babér,female,Dachshund Mix,black and tan
Dió,male,Unknown Mix,apricot
Jenny,female,Unknown Mix,brown and white
Siberia,male,Siberian Husky,black and white
Dylen,male,Unknown Mix,yellow-brown
Lili,female,Labrador Retriever Mix,black
Harro,male,Unknown Mix,white
Szálka,male,Unknown Mix,apricot
Achaz,male,Unknown Mix,black and white
Bájos,female,"Bolognese, Puli Mix",gray and black
Sweety,male,Unknown Mix,black and brown
Maike,male,Unknown Mix,black
Lompos,male,"Border Collie, Mudi Mix",black
Zorro,male,"Pumi, Schnauzer Mix",gray
Adu/Borzas,male,Unknown Mix,black
Picur,male,Unknown Mix,sable
Fefe,male,Unknown Mix,black
Fips,male,Unknown Mix,black
Szürkécske,female,Terrier Mix,gray
Ditta,female,Staffordshire Terrier Mix,striped
Luca,female,Unknown Mix,brown
Carly,female,Unknown Mix,brown
Lou,male,Unknown Mix,yellow-brown
Lana,female,Unknown Mix,black
Marina,female,Labrador Retriever Mix,black
Abigél,female,Unknown Mix,brown and white
,male,"Puli, Pumi Mix",black
Holle Anyó,female,Labrador Retriever Mix,apricot
Chester,male,Unknown Mix,black
Artúr,male,"Dachshund, German Shepherd Dog Mix",black and brown
Rana,female,Unknown Mix,golden
Tökmag,female,German Shepherd Dog Mix,saddle back
Mirco,male,Sarplaninac,gray and black
Csivit,male,Unknown Mix,black and white
,female,Unknown Mix,gray and black
Arno,male,German Shepherd Dog Mix,black and brown
,female,Unknown Mix,brown
Lõrinc,male,Mudi Mix,black
Baba,female,Dachshund Mix,brown and white
Rozina,female,Unknown Mix,black
Frida,female,German Shepherd Dog,sable
Pepe,male,Dachshund Mix,tricolor
Marco,male,Dachshund Mix,black
Virginia,female,Unknown Mix,black and brown
,female,German Shepherd Dog Mix,black and brown
Bessy,female,Unknown Mix,saddle back
Jakab,male,Hound Mix,brown
Carlo,male,Unknown Mix,black
Dener,male,Unknown Mix,brown
Primus,male,German Shepherd Dog,sable
Sunny,female,Unknown Mix,white
Juhász,male,Kuvasz,white
Betyárka,male,Unknown Mix,saddle back
Rózi,female,"Hungarian Vizsla, Labrador Retriever Mix",yellow
Rómeó,male,Unknown Mix,gray and white
Dumbi,female,"Golden Retriever, Setter, Vizsla Mix",brown and white
Dina,female,Unknown Mix,brown and white
Pötyi,female,Unknown Mix,black and white
Castor,male,Siberian Husky Mix,black and white
,female,"Bolognese, Havanese",white
Inca,female,Unknown Mix,black and brown
Helena,female,Unknown Mix,yellow-brown
Franklin,male,German Shepherd Dog,sable
,male,Unknown Mix,yellow-brown
Stefán,male,"Belgian Malinois, Hungarian Vizsla Mix",brown
Bobby,male,German Shepherd Dog Mix,black and brown
Mira,female,"Puli, Schnauzer, Spaniel Mix",black
Zoya,female,Unknown Mix,yellow-brown
Keverék Kislány,female,Unknown Mix,black
Temes,male,Labrador Retriever Mix,black
Conny,female,Unknown Mix,white
Buddy,male,German Shepherd Dog Mix,black and brown
Bobi,male,Unknown Mix,gray
Amalia,female,Unknown Mix,brown and white
Rágcsa,male,Unknown Mix,brown
Lelenc,female,Unknown Mix,black and white
Nugát,male,German Pointer Mix,brown
Brikett,male,Schnauzer Mix,black
Béla,male,Unknown Mix,black and tan
Buksi,female,Unknown Mix,apricot
Amina,female,Unknown Mix,brown and white
Flexy,male,Unknown Mix,black and brown
Blikk,male,"Bernese Mountain Dog, Dachshund Mix",tricolor
Blacky,male,"American Pit Bull Terrier, Staffordshire Terrier Mix",black and white
Snoopy,female,Doberman Mix,black
Mudika,male,Mudi Mix,black
Sue,female,Unknown Mix,brown and white
Tom,male,Unknown Mix,black
Luca,female,Unknown Mix,black
Negro,male,Briard Mix,black
Zoé,female,German Shepherd Dog,brown
Sophy,female,German Shepherd Dog Mix,black and tan
Szõrmók,male,Unknown Mix,saddle back
Totó,male,Siberian Husky Mix,black and white
Dani,male,Staffordshire Terrier Mix,black and white
,male,Unknown Mix,black
Rozsdi,male,Unknown Mix,brown and white
Teo,male,Unknown Mix,black
Maci,male,Unknown Mix,brown and white
Tüske,male,Collie Mix,tricolor
Tigó,male,"German Shepherd Dog, Labrador Retriever, Staffordshire Terrier Mix",black and brown
Dönci,male,Old German Shepherd Mix,brown and white
Napé,female,Dachshund Mix,saddle back
Málna,female,Unknown Mix,black and brown
Anka,female,Unknown Mix,black
Béni,male,"Beagle, Dachshund Mix",tricolor
Martina,female,Labrador Retriever Mix,black
Fruzsi,female,Schnauzer Mix,gray and white
Patak,female,Dachshund Mix,black and tan
Stella,female,German Shepherd Dog,saddle back
Prímás,male,Dachshund Mix,black and tan
Celi,male,Rottweiler Mix,black and tan
Blöki,male,"German Shepherd Dog, Rottweiler, Staffordshire Terrier Mix",sable
Zsani,female,Dachshund Mix,brown
Lédi,female,German Shepherd Dog,black and tan
Hilda,female,Unknown Mix,brown
Bundás,male,Terrier Mix,black and white
Chagall,male,German Shepherd Dog Mix,sable
Betti,female,German Shepherd Dog Mix,sable
Rachel,female,Rhodesian Ridgeback Mix,red
Jessica,female,Unknown Mix,golden
Sharon,female,Beagle,tricolor
Filou,male,German Pointer Mix,black and white
Panka,female,German Shepherd Dog Mix,black and brown
Gábor,male,Siberian Husky Mix,yellow
Herta,female,Unknown Mix,brown and white
Kabóca,female,Unknown Mix,black
Amália,female,Unknown Mix,yellow-brown
Szemi,female,Unknown Mix,tricolor
Macky,male,Unknown Mix,yellow-brown
Alma,female,Unknown Mix,gray and black
Zsombi,male,Dachshund Mix,brown
Gergõ,male,Unknown Mix,black
Anda,female,Labrador Retriever Mix,black
,male,Pinscher Mix,black and brown
Legra,female,Labrador Retriever Mix,black
Sarah,female,Unknown Mix,apricot
Havana,female,Unknown Mix,black
Brico,male,Unknown Mix,striped
Tarzán,male,Terrier Mix,yellow-brown
,male,Dachshund Mix,yellow-brown
Prücsi,female,Unknown Mix,yellow-brown
Csilla,female,German Shepherd Dog Mix,black and brown
Borika,female,Pinscher Mix,brown
Panna,female,Bull Terrier Mix,yellow
Borcsa,female,Unknown Mix,black and tan
Ricsi,male,"Labrador Retriever, Rhodesian Ridgeback Mix",golden
Bond,male,Unknown Mix,brown and white
Benga,male,Unknown Mix,gray
Pocok,female,Bull Terrier Mix,striped
Ismeretlen...,male,Fox Terrier,black and white
Robi,male,Labrador Retriever Mix,apricot
Chili,male,Unknown Mix,brown
Fuchur A Sárkány,male,"Border Collie, Labrador Retriever, White Swiss Shepherd Mix",golden
Ében,male,Unknown Mix,black
,male,Unknown Mix,yellow-brown
Somló,female,Dachshund Mix,brown
Boogie,male,Dogo Argentino Mix,spotty
Berci,male,Unknown Mix,black
Nanny,female,"German Shepherd Dog, Labrador Retriever Mix",golden
Bogár,male,Unknown Mix,black
Tomi És Rani,male,Unknown Mix,black
Rosa,female,Unknown Mix,black
Fondû,female,"Chinese Shar-Pei, Labrador Retriever Mix",yellow-brown
Csöpi,female,Terrier Mix,black
Mimi,female,Unknown Mix,gray
,male,"Pekingese, Spitz Mix",black and white
,female,German Shepherd Dog Mix,black and brown
Juanita,female,Dogo Argentino,white
Annabell,female,Unknown Mix,brown
Csillag,male,Unknown Mix,black and brown
Nanook,male,German Shepherd Dog Mix,sable
Habarcs,female,Unknown Mix,tricolor
Pixie,female,Staffordshire Terrier Mix,black and brown
Süti,male,Unknown Mix,tricolor
Bozont,male,Schnauzer Mix,striped
Rába,male,"Belgian Sheepdog, German Shepherd Dog Mix",tricolor
,male,"Bolognese, Havanese, Maltese",brown and white
Turbo,male,Unknown Mix,black
Larissa,female,Unknown Mix,black and brown
Galiba,male,Unknown Mix,yellow
Gyáli Gizmó,male,Unknown Mix,black
,male,Unknown Mix,white
Jim,male,Unknown Mix,black and brown
,female,Unknown Mix,yellow-brown
Ozdor,male,Unknown Mix,black
Opál,female,Unknown Mix,black
River,male,Unknown Mix,brown
Izabell,female,German Shepherd Dog Mix,sable
,male,Unknown Mix,yellow-brown
Domino,male,German Dog,spotty
Bobó,male,Unknown Mix,tricolor
Sashalmi Alex,male,Unknown Mix,gray and white
Brenda,female,Unknown Mix,black and white
Jetta,female,Unknown Mix,black
Prinz,male,Unknown Mix,black
Írisz,female,Staffordshire Terrier Mix,brown and white
Limbo,male,Puli Mix,gray
,male,Unknown Mix,brown
Donna &Amp,female,German Shepherd Dog,sable
Theodora,female,Unknown Mix,brown
Malvina,female,Unknown Mix,gray and black
Waldi,male,Unknown Mix,black and brown
Patsy,female,Unknown Mix,yellow-brown
Tanja,female,German Shepherd Dog Mix,black
Ryen,male,Unknown Mix,black and brown
Kiskutya,female,Unknown Mix,brown
Barnabas,male,Dachshund Mix,brown
Puszi,female,Unknown Mix,black and white
Bari,female,Kuvasz Mix,white
Watson,male,Unknown Mix,black and brown
Maya,female,Adoptable From:,apricot
Johnny,male,Unknown Mix,sable
Panni,female,Bull Terrier Mix,white
Mekkon,male,German Shepherd Dog Mix,brown
"""Björn""",male,Labrador Retriever Mix,black
Barnabás,male,Unknown Mix,brown
Peti,male,Schnauzer Mix,black
Chuby,female,"Havanese, Puli, Pumi Mix",gray
Kiki,male,Fox Terrier Mix,tricolor
Dezsõ,male,Unknown Mix,black and brown
Lucky,male,Unknown Mix,brown
Brúnó,male,Unknown Mix,black
Marina,female,Unknown Mix,black and brown
Pongó,male,Unknown Mix,brown
Jamie,male,Unknown Mix,black
Kisvárdai Keve,male,Greyhound Mix,yellow-brown
Balázs,male,Unknown Mix,brown
Szergely,male,Unknown Mix,black and brown
Muffin,female,German Shepherd Dog Mix,black and brown
Rudy,male,Staffordshire Terrier Mix,spotty
Bozont,male,Unknown Mix,gray and white
Henry,male,Unknown Mix,black
Fülöp,male,Puli Mix,black
Jimboo,male,Dogo Argentino,white
Rosso,male,Unknown Mix,red
Dufi,male,Unknown Mix,white
Lotár,male,Fox Terrier Mix,spotty
Viktor,male,Unknown Mix,black and white
Panni,female,Unknown Mix,tricolor
Beagle Fiú,male,Beagle,tricolor
Shoko,male,Unknown Mix,black
Talált Spicc,male,Spitz,white
Bobby,male,Unknown Mix,black
Carita,female,Unknown Mix,yellow-brown
Kisvárdai Kolos,male,Greyhound Mix,yellow-brown
Einstein,male,Pumi Mix,gray
Gyáli Csipi,female,Unknown Mix,yellow-brown
Mumus,male,Unknown Mix,brown
Betty,female,German Shepherd Dog Mix,saddle back
Picurella,female,Unknown Mix,black and white
,female,Unknown Mix,brown
Hopi,male,Unknown Mix,yellow-brown
Tina,female,Cocker Spaniel,black and brown
Resi,female,Unknown Mix,sable
Kajla,female,Dachshund Mix,brown
Márta,female,Unknown Mix,brown and white
Schnecke,female,Terrier Mix,gray and black
Bebi,female,Unknown Mix,black
Camillo,male,Pekingese Mix,brown
Aden,female,Beagle,tricolor
Cheryl,female,Unknown Mix,black
Guszti,male,Dachshund Mix,black and brown
Bogi,female,Dachshund Mix,black
Adele,female,Unknown Mix,sable
Xanto,male,Puli Mix,black
Tina,female,"Kuvasz, Labrador Retriever Mix",brown and white
Geri,male,Unknown Mix,spotty
Jonny,male,Unknown Mix,black and brown
Ria,female,Unknown Mix,black and brown
Adam,male,Unknown Mix,black
Rezes,male,Unknown Mix,red
Borzas,male,Tibetan Terrier,black
Suzy,female,Unknown Mix,black and brown
Benga,male,"Beagle, Chihuahua Mix",black and white
Dani,male,Unknown Mix,black
Tulipán,female,Dachshund Mix,red
Réta,female,Unknown Mix,black and brown
Anda,female,Unknown Mix,brown
Olgi,female,Unknown Mix,black
Dundi,female,Dachshund Mix,red
Grafit Grafi,male,Terrier Mix,black and tan
Puli Keverék,male,Unknown Mix,black
Hevesi Palota Pincsi,male,Pekingese,red
Tufa,male,Unknown Mix,yellow-brown
Rella,female,Unknown Mix,sable
Jamie,male,Unknown Mix,gray
Gyáli Tacskó Keverék,male,Unknown Mix,brown and white
Dino,female,Dachshund Mix,red
,male,Unknown Mix,yellow-brown
Hevesi Keverék Kutyus,male,Unknown Mix,black and tan
Bundy,male,Puli,black
Géza,male,Dachshund Mix,yellow
Elhagyott,female,Unknown Mix,spotty
Leila,female,Staffordshire Terrier Mix,black and white
Maci,male,Unknown Mix,brown
Nudli,female,Unknown Mix,brown
Mackó,male,Unknown Mix,apricot
Kisvacak,male,Unknown Mix,black
Beni,male,Unknown Mix,black and white
Sumi,male,Chinese Shar-Pei,yellow-brown
Lady,female,Caucasian Ovtcharka Mix,apricot
Tündi,female,Unknown Mix,black and white
Buzz,male,Unknown Mix,black and brown
Patrick,male,Staffordshire Terrier Mix,yellow-brown
Basel,male,"Dachshund, Spaniel Mix",black
Tuna,female,Unknown Mix,striped
Gina,female,Unknown Mix,brown
Felicia,female,Unknown Mix,yellow-brown
Kendy Babák,male,Unknown Mix,black
Piff,male,Unknown Mix,apricot
Vuki,male,Unknown Mix,red
Gömbi,male,Unknown Mix,black
Juci,female,German Shepherd Dog Mix,sable
Grafit Bessó,female,Unknown Mix,black
Foltos,male,Fox Terrier,brown and white
Missy,female,Unknown Mix,white
Lidérc,male,Staffordshire Terrier Mix,yellow-brown
Grafit Dakar,male,Unknown Mix,yellow
Grafit Damian,male,Unknown Mix,black
Pici,male,Unknown Mix,black and white
Mizo,female,Unknown Mix,spotty
Picur,male,Unknown Mix,apricot
Gömbi,male,Great Dane Mix,brown
Mizo,female,Unknown Mix,spotty
,female,Pekingese,brown and white
Junior,male,Unknown Mix,apricot
Betty,female,Unknown Mix,spotty
Lili,female,Unknown Mix,black and white
Füge,male,Fox Terrier Mix,tricolor
Borisz,male,Unknown Mix,brown and white
Héra,female,German Pointer Mix,black and white
Marley,male,Unknown Mix,black
Grimbusz,male,Unknown Mix,black and brown
Niga,male,Labrador Retriever Mix,black
Kántor,male,German Shepherd Dog Mix,saddle back
Tódor,male,German Shepherd Dog Mix,sable
Nedda,female,Unknown Mix,brown
Moncsi,female,Unknown Mix,black and white
Bartók,male,Unknown Mix,red
Totó,male,Pekingese Mix,black and brown
Nuba,female,Unknown Mix,brown
Tequila,male,Dachshund Mix,red
Ambra,male,Siberian Husky Mix,gray and white
Linda,female,Dachshund Mix,yellow-brown
Barnabu,male,"Akita, German Shepherd Dog Mix",yellow-brown
Lori,female,Unknown Mix,yellow-brown
Pulcsi,male,Puli Mix,white
Pákó,male,Unknown Mix,black
Vincent,male,Unknown Mix,saddle back
Bubu,male,Staffordshire Terrier Mix,brown
Bogi,female,Unknown Mix,black
Baltazár,male,Unknown Mix,black
Valcsi,female,Unknown Mix,black and white
Báró,male,Unknown Mix,black and brown
Maszat,female,Terrier Mix,apricot
Frakk,male,Vizsla Mix,brown
Matzo,male,Caucasian Ovtcharka Mix,black and white
Many,male,Terrier Mix,brown and white
Terry,male,Fox Terrier Mix,black and white
Candy,female,Dachshund Mix,sable
Örökbeadó Nap: Jan.. Illatos Út,male,Unknown Mix,apricot
Field,male,Chinese Shar-Pei Mix,apricot
Lepke,female,Hound Mix,black and brown
Tapasz,male,Belgian Sheepdog Mix,black and brown
Cili,female,Unknown Mix,black and white
Mesi,female,Unknown Mix,yellow-brown
Morzsi,female,Dachshund Mix,black and white
Solange,female,Unknown Mix,apricot
Fürge,male,Unknown Mix,black and white
Kefe,male,German Pointer,brown and white
Hédi,female,German Shepherd Dog Mix,sable
Rozi,female,Vizsla Mix,brown
Gusto,male,Unknown Mix,black
Solo,male,Unknown Mix,black
Roxi,female,Rottweiler Mix,black and brown
Kajla,male,Unknown Mix,black and brown
Csivi,female,Unknown Mix,brown and white
Doc,male,Unknown Mix,black and brown
Maci,male,Unknown Mix,brown
Gazsi,male,Unknown Mix,apricot
Csaba,male,Unknown Mix,apricot
Fürtös,male,Unknown Mix,black and white
Drive,female,Unknown Mix,apricot
Happy,male,Unknown Mix,black and tan
Dingo,male,Unknown Mix,striped
Bella,female,Setter Mix,black and brown
Sinbad,male,Unknown Mix,brown
Kuvasz,female,Kuvasz Mix,white
Bátor,male,Unknown Mix,white
Yess,female,Beagle,brown and white
Rasputyin,male,German Shepherd Dog,sable
Csöpi Úr,male,Unknown Mix,brown and white
Benõke,male,Unknown Mix,black
"Limuzin  ""Limo""",female,Unknown Mix,black
Árpika,male,Unknown Mix,brown and white
Turbó,male,Unknown Mix,yellow-brown
,female,Unknown Mix,black and tan
Maya,female,Unknown Mix,black and white
Luky,female,Rottweiler,black and tan
Yoko,female,Unknown Mix,brown
Bobette,female,Labrador Retriever Mix,black
Mr. Chilli,male,Unknown Mix,black and brown
Reni,female,Unknown Mix,yellow-brown
Bambusz,female,Unknown Mix,black and brown
Barka,female,Unknown Mix,black
Szivi,female,Unknown Mix,black and brown
Juhar,female,Unknown Mix,black and white
Picurka,female,Unknown Mix,black
Filipke,male,Unknown Mix,black and brown
Õszike,female,Unknown Mix,black and white
River,female,Unknown Mix,saddle back
Ali,male,Unknown Mix,brown
Bia,female,Unknown Mix,black and white
Boni,female,Unknown Mix,black and white
Cherry Queen,female,Unknown Mix,wild boar
Lola,female,Unknown Mix,brown
Chivas,male,Unknown Mix,red
Carmen,female,German Shepherd Dog,sable
Sátánka,male,Unknown Mix,black
Kuszkusz,male,Unknown Mix,gray and white
Dumbó,male,Unknown Mix,yellow
Rézi,female,Unknown Mix,yellow-brown
Verne,male,Unknown Mix,black and tan
Merzse Twist,female,Unknown Mix,black
Tarna,female,Unknown Mix,black and tan
Rico,male,Dachshund Mix,brown
Jágó,male,Dachshund Mix,black and brown
Szofi,female,Unknown Mix,black and tan
Scylla,female,Unknown Mix,brown and white
Rambó,male,German Shepherd Dog Mix,sable
Norma,female,German Shepherd Dog,sable
Bokros Mini,female,Unknown Mix,sable
Bounty,male,Unknown Mix,black and tan
Ringo,male,Unknown Mix,saddle back
Szamos,male,Unknown Mix,black and tan
Kökény,female,German Shepherd Dog Mix,black and brown
Rufus,male,Caucasian Ovtcharka Mix,black and tan
Íjász Krumpli,female,Dachshund Mix,black
Jaina,female,Unknown Mix,yellow
Tánya,female,"Caucasian Ovtcharka, Siberian Husky Mix",yellow-brown
Korsó Vanília,female,Unknown Mix,white
Bicske,female,Caucasian Ovtcharka Mix,black and tan
Matula Bácsi,male,Staffordshire Terrier Mix,black and white
Kapca,female,Unknown Mix,black and brown
Jojo,male,Hound Mix,black and tan
Diana,female,Staffordshire Terrier Mix,yellow
Szerenád,female,"Labrador Retriever, Transylvanian Hound Mix",black and white
Tinta,male,Unknown Mix,tricolor
Marcell,male,German Shepherd Dog Mix,yellow
Thrall,male,Unknown Mix,yellow
Lali,male,German Shepherd Dog Mix,saddle back
Pöttöm Panka,female,Chihuahua Mix,gray and black
Frakk,male,Mudi Mix,black
Szoknya,female,"Golden Retriever, Kuvasz Mix",white
Lina Panka,female,Unknown Mix,black
Rántás,female,Unknown Mix,yellow
Lili,female,German Shepherd Dog Mix,black and tan
Mimó,female,Labrador Retriever Mix,apricot
Tigi,female,Staffordshire Terrier Mix,striped
Vipi,female,Whippet Mix,tricolor
Sumák,male,Unknown Mix,yellow
Hócipõ,female,Unknown Mix,tricolor
Vác,female,Caucasian Ovtcharka Mix,black and white
Bebi,female,Dachshund Mix,black and tan
Clio,male,Unknown Mix,yellow
Bell,female,Adoptable From:,sable
Bandi,male,Unknown Mix,golden
Bó,male,"Chihuahua, Dachshund, Pinscher Mix",golden
Radar,male,Belgian Sheepdog Mix,apricot
Gáli,female,Golden Retriever Mix,yellow
Gyogyó,male,Spaniel Mix,yellow
Hercegnõ,female,Unknown Mix,yellow-brown
Bertha,female,German Shepherd Dog Mix,sable
Nana,female,Spaniel Mix,brown
Málna,female,Schnauzer Mix,gray and black
Sámán,female,Unknown Mix,yellow-brown
Adina,female,Unknown Mix,black and brown
Mikulás,female,Unknown Mix,golden
Dustin,male,Unknown Mix,brown
Zsebike,female,Dachshund Mix,yellow-brown
Vénusz,female,Unknown Mix,yellow-brown
Carlotta,female,Unknown Mix,yellow-brown
Betyár,male,Unknown Mix,yellow-brown
Butch,male,Unknown Mix,yellow-brown
Cross,male,Unknown Mix,yellow-brown
Erna,female,Unknown Mix,black
Ziggy,male,Unknown Mix,black
Dini,female,German Shepherd Dog Mix,brown
Winnetou,male,"Labrador Retriever, Vizsla Mix",black
Boszkó,male,German Shepherd Dog Mix,sable
Szonda,female,Unknown Mix,black
Rocca,female,Unknown Mix,black
Addy,female,Unknown Mix,yellow
Tara,female,Unknown Mix,black
Allie,female,Unknown Mix,black and tan
Cairo,female,Unknown Mix,black
Alana,female,Unknown Mix,black
Boss,male,Unknown Mix,yellow
Borzas,male,Unknown Mix,tricolor
Vanila,female,Unknown Mix,yellow-brown
Miro,male,Unknown Mix,black
Yella,female,Unknown Mix,yellow-brown
Blacky,male,Unknown Mix,black
Mázli,male,Unknown Mix,white
Morzsi,male,Unknown Mix,brown
Alexa,female,Unknown Mix,gray and black
Holly,female,Unknown Mix,saddle back
Eva,female,Unknown Mix,golden
Guy,male,Unknown Mix,brown
Sprite,female,Unknown Mix,yellow-brown
Picholo,male,Puli Mix,black
Jackson,male,Unknown Mix,white
Hedda,female,Dachshund Mix,black
Ramszesz,male,Unknown Mix,black and brown
Scuba,male,Unknown Mix,yellow-brown
Cale,female,Unknown Mix,golden
Csöpi,female,Dachshund Mix,black
Buck,male,Unknown Mix,black
Nico,male,Unknown Mix,brown
Topi,male,Unknown Mix,black and brown
Bono,male,Unknown Mix,black
Big Ben,male,Unknown Mix,black
Balu,male,Unknown Mix,brown
Max,male,German Shepherd Dog Mix,sable
Zelda,female,Unknown Mix,black and brown
Mózes,male,Mudi Mix,gray
Junior,male,Labrador Retriever Mix,black
Brownie,male,Unknown Mix,brown
Zeusz,male,Unknown Mix,golden
Csufi,male,Unknown Mix,golden
Negro,male,Unknown Mix,black and brown
Ilma,female,Unknown Mix,brown
Mara,female,Schnauzer Mix,sable
Tarka,female,Unknown Mix,brown and white
Mufi,male,Unknown Mix,gray
Afir,male,Unknown Mix,black and brown
Gigi,female,Unknown Mix,black and white
Negro,male,Unknown Mix,black
Szemi,male,Unknown Mix,sable
Avis,male,Unknown Mix,black
Satin,female,Unknown Mix,black
Teddy,male,Unknown Mix,tricolor
Rheno,male,German Shepherd Dog,sable
Pepe,male,Unknown Mix,brown
Benita,female,Unknown Mix,black and brown
Merlin,male,Puli Mix,gray
Nyakigláb,female,Unknown Mix,black
Foehna,female,Dachshund Mix,sable
Axle,male,Unknown Mix,black and brown
Bogyó,female,Dachshund Mix,black and brown
Nana,female,German Shepherd Dog Mix,brown
Margret,female,Unknown Mix,black and brown
Tódor,male,Unknown Mix,sable
Sera,female,Vizsla Mix,black
Ada,male,Mudi Mix,black
Rozsdi,male,Unknown Mix,red
Rafael,male,Unknown Mix,black and brown
Rudi,male,Unknown Mix,black
Sába,female,Unknown Mix,brown
Moody,female,German Shepherd Dog Mix,black and brown
Vili,male,Caucasian Ovtcharka Mix,gray
Muki,male,Unknown Mix,black
Borisz,male,Unknown Mix,yellow-brown
Freja,female,Unknown Mix,brown
Dalton/Topi,male,Rottweiler,black and brown
Morcos,male,Unknown Mix,black and brown
Diego,male,Unknown Mix,black and brown
Démon,male,Unknown Mix,black
Réka,female,Unknown Mix,black and brown
Bella,female,Unknown Mix,black and brown
Áron,male,Unknown Mix,black
,male,German Shepherd Dog Mix,sable
Suzy,female,Unknown Mix,sable
Rezeda,female,German Shepherd Dog Mix,sable
Ruci,male,Unknown Mix,wild boar
